Voltaje_Cen_0,Voltaje_Cen_1,Voltaje_Cen_2,Voltaje_Cen_3,Voltaje_Cen_4,Voltaje_Ext_0,Voltaje_Ext_1,Voltaje_Ext_2,Voltaje_Ext_3,Voltaje_Ext_4
1.8,1.76,1.84,1.84,1.8,1.52,1.52,1.56,1.56,1.52
1.84,1.8,1.8,1.88,1.84,1.52,1.52,1.48,1.48,1.6
1.8,1.84,1.8,1.8,1.76,1.48,1.48,1.48,1.48,1.48
1.8,1.76,1.76,1.8,1.8,1.48,1.4,1.48,1.44,1.48
1.8,1.8,1.84,1.8,1.84,1.4,1.4,1.44,1.44,1.48
1.76,1.72,1.84,1.8,1.76,1.4,1.44,1.44,1.4,1.44
1.8,1.8,1.8,1.8,1.84,1.48,1.48,1.4,1.44,1.48
1.76,1.84,1.76,1.8,1.76,1.44,1.4,1.4,1.44,1.44
1.72,1.84,1.76,1.76,1.76,1.4,1.4,1.4,1.4,1.44
1.76,1.76,1.8,1.76,1.76,1.36,1.36,1.4,1.36,1.4
1.84,1.76,1.84,1.8,1.76,1.4,1.4,1.36,1.4,1.36
1.84,1.76,1.76,1.84,1.84,1.4,1.4,1.4,1.4,1.4
1.76,1.8,1.76,1.8,1.76,1.4,1.36,1.4,1.44,1.36
1.76,1.84,1.76,1.76,1.72,1.4,1.36,1.4,1.4,1.4
1.76,1.76,1.84,1.84,1.76,1.32,1.36,1.4,1.4,1.36
1.76,1.76,1.8,1.8,1.8,1.36,1.4,1.36,1.32,1.36
1.8,1.8,1.76,1.8,1.8,1.4,1.4,1.36,1.36,1.4
1.76,1.8,1.76,1.72,1.72,1.4,1.36,1.36,1.36,1.36
1.76,1.76,1.72,1.72,1.76,1.4,1.36,1.36,1.36,1.36
1.76,1.8,1.76,1.72,1.8,1.32,1.36,1.36,1.32,1.32
1.8,1.76,1.8,1.76,1.8,1.32,1.36,1.32,1.36,1.32
1.8,1.76,1.76,1.76,1.76,1.36,1.4,1.32,1.36,1.36
1.76,1.76,1.76,1.8,1.68,1.32,1.36,1.32,1.36,1.36
1.72,1.8,1.72,1.8,1.4,1.88,1.68,1.8,1.76,2.24
1.8,1.76,1.8,1.76,1.8,1.6,1.56,1.6,1.6,1.68
1.8,1.8,1.84,1.84,1.8,1.52,1.56,1.52,1.48,1.56
1.84,1.8,1.84,1.84,1.84,1.48,1.48,1.48,1.56,1.6
1.8,1.88,1.76,1.8,1.8,1.48,1.48,1.48,1.48,1.48
1.76,1.8,1.84,1.76,1.8,1.48,1.44,1.44,1.48,1.4
1.76,1.8,1.84,1.8,1.72,1.4,1.44,1.44,1.4,1.48
1.8,1.76,1.84,1.84,1.8,1.44,1.48,1.44,1.44,1.44
1.88,1.8,1.8,1.84,1.84,1.44,1.4,1.4,1.44,1.44
1.8,1.88,1.8,1.8,1.8,1.4,1.4,1.44,1.44,1.4
1.72,1.84,1.8,1.76,1.8,1.4,1.48,1.44,1.4,1.44
1.72,1.72,1.76,1.8,1.76,1.36,1.4,1.4,1.4,1.36
1.76,1.72,1.76,1.84,1.8,1.36,1.44,1.4,1.4,1.44
1.8,1.84,1.76,1.84,1.76,1.44,1.36,1.36,1.36,1.4
1.84,1.92,1.76,1.8,1.84,1.4,1.44,1.36,1.4,1.44
1.76,1.8,1.8,1.76,1.76,1.36,1.4,1.4,1.4,1.4
1.76,1.72,1.76,1.76,1.76,1.36,1.36,1.4,1.36,1.4
1.8,1.72,1.76,1.72,1.8,1.36,1.36,1.36,1.4,1.36
1.8,1.76,1.8,1.8,1.8,1.44,1.4,1.4,1.44,1.36
1.76,1.72,1.72,1.76,1.8,1.4,1.32,1.36,1.36,1.4
1.76,1.76,1.76,1.76,1.76,1.4,1.32,1.4,1.4,1.36
1.72,1.84,1.72,1.72,1.76,1.36,1.4,1.36,1.32,1.36
1.8,1.76,1.8,1.76,1.8,1.36,1.32,1.32,1.36,1.36
1.76,1.8,1.76,1.8,1.8,1.36,1.32,1.32,1.36,1.32
1.76,1.8,1.76,1.76,1.72,1.4,1.36,1.36,1.36,1.36
1.68,1.72,1.72,1.72,1.48,1.88,1.68,1.68,1.8,2.12
1.76,1.76,1.84,1.8,1.8,1.6,1.56,1.6,1.6,1.64
1.84,1.76,1.8,1.84,1.84,1.56,1.52,1.48,1.52,1.6
1.84,1.84,1.76,1.8,1.84,1.48,1.52,1.48,1.48,1.52
1.76,1.84,1.76,1.84,1.8,1.48,1.48,1.48,1.48,1.52
1.8,1.8,1.76,1.72,1.84,1.48,1.44,1.48,1.48,1.48
1.8,1.76,1.84,1.8,1.8,1.48,1.44,1.4,1.44,1.4
1.84,1.8,1.84,1.76,1.8,1.44,1.4,1.4,1.4,1.4
1.84,1.8,1.76,1.8,1.8,1.4,1.4,1.44,1.48,1.48
1.84,1.8,1.8,1.8,1.8,1.44,1.4,1.44,1.48,1.44
1.8,1.8,1.76,1.76,1.76,1.44,1.4,1.44,1.4,1.36
1.76,1.72,1.8,1.8,1.8,1.4,1.4,1.44,1.36,1.4
1.76,1.76,1.84,1.84,1.8,1.4,1.44,1.36,1.4,1.36
1.8,1.8,1.84,1.8,1.8,1.36,1.44,1.44,1.44,1.36
1.76,1.84,1.76,1.8,1.8,1.4,1.4,1.44,1.4,1.36
1.8,1.8,1.76,1.76,1.8,1.4,1.36,1.4,1.4,1.4
1.76,1.72,1.8,1.76,1.8,1.4,1.36,1.36,1.36,1.4
1.8,1.72,1.8,1.72,1.76,1.4,1.36,1.36,1.36,1.4
1.8,1.76,1.76,1.8,1.8,1.32,1.36,1.36,1.32,1.44
1.76,1.76,1.76,1.76,1.76,1.4,1.32,1.44,1.36,1.36
1.72,1.76,1.8,1.76,1.72,1.32,1.36,1.36,1.4,1.36
1.72,1.76,1.76,1.72,1.76,1.32,1.36,1.36,1.32,1.32
1.76,1.76,1.8,1.84,1.84,1.36,1.32,1.36,1.32,1.36
1.8,1.8,1.8,1.8,1.8,1.36,1.36,1.32,1.4,1.36
1.76,1.8,1.76,1.72,1.76,1.36,1.36,1.4,1.36,1.36
1.8,1.72,1.76,1.72,1.56,1.84,1.64,1.72,1.76,2.04
1.76,1.84,1.8,1.8,1.76,1.6,1.52,1.6,1.6,1.68
1.84,1.72,1.84,1.88,1.8,1.52,1.52,1.56,1.52,1.56
1.84,1.84,1.8,1.8,1.84,1.48,1.48,1.52,1.52,1.48
1.8,1.8,1.8,1.76,1.8,1.48,1.48,1.48,1.52,1.48
1.8,1.8,1.8,1.76,1.8,1.4,1.4,1.44,1.44,1.44
1.8,1.8,1.84,1.8,1.76,1.44,1.44,1.44,1.48,1.4
1.8,1.8,1.84,1.8,1.76,1.44,1.44,1.36,1.44,1.44
1.8,1.84,1.8,1.84,1.8,1.44,1.44,1.44,1.44,1.4
1.76,1.8,1.84,1.84,1.8,1.48,1.4,1.44,1.48,1.4
1.72,1.8,1.8,1.72,1.76,1.4,1.36,1.44,1.4,1.36
1.8,1.72,1.8,1.76,1.8,1.4,1.4,1.4,1.36,1.44
1.76,1.76,1.8,1.8,1.76,1.4,1.36,1.36,1.36,1.4
1.8,1.8,1.76,1.88,1.84,1.4,1.4,1.36,1.36,1.4
1.84,1.8,1.76,1.76,1.8,1.4,1.4,1.4,1.4,1.4
1.8,1.8,1.72,1.76,1.72,1.4,1.32,1.44,1.36,1.32
1.76,1.8,1.8,1.76,1.8,1.32,1.36,1.36,1.32,1.36
1.76,1.8,1.8,1.76,1.8,1.32,1.32,1.28,1.36,1.4
1.8,1.8,1.8,1.8,1.84,1.36,1.4,1.36,1.4,1.32
1.8,1.8,1.72,1.76,1.8,1.4,1.36,1.4,1.36,1.36
1.8,1.72,1.72,1.88,1.76,1.4,1.32,1.4,1.36,1.36
1.72,1.72,1.76,1.76,1.76,1.32,1.36,1.32,1.32,1.32
1.76,1.72,1.76,1.72,1.68,1.32,1.36,1.4,1.36,1.32
1.76,1.8,1.76,1.84,1.8,1.36,1.32,1.36,1.32,1.36
1.76,1.8,1.76,1.76,1.76,1.32,1.36,1.32,1.32,1.4
1.76,1.76,1.72,1.72,1.52,1.8,3.08,1.68,1.72,2.0
1.8,1.8,1.76,1.76,1.8,1.64,1.68,1.56,1.56,1.6
1.8,1.8,1.8,1.76,1.76,1.56,1.56,1.52,1.52,1.56
1.84,1.8,1.84,1.8,1.8,1.56,1.48,1.48,1.48,1.48
1.84,1.84,1.76,1.8,1.76,1.48,1.48,1.48,1.48,1.48
1.76,1.76,1.76,1.72,1.84,1.4,1.48,1.44,1.48,1.4
1.8,1.8,1.8,1.8,1.8,1.44,1.44,1.44,1.44,1.48
1.76,1.8,1.84,1.8,1.76,1.44,1.4,1.4,1.4,1.4
1.84,1.8,1.84,1.8,1.88,1.4,1.4,1.4,1.4,1.44
1.8,1.8,1.8,1.84,1.8,1.44,1.44,1.4,1.44,1.36
1.8,1.8,1.76,1.72,1.8,1.4,1.48,1.44,1.44,1.4
1.76,1.76,1.76,1.8,1.8,1.36,1.4,1.44,1.36,1.44
1.8,1.8,1.84,1.8,1.84,1.4,1.36,1.36,1.4,1.4
1.8,1.76,1.8,1.8,1.76,1.4,1.36,1.4,1.36,1.44
1.84,1.76,1.8,1.8,1.8,1.4,1.36,1.4,1.4,1.4
1.72,1.72,1.76,1.76,1.76,1.4,1.36,1.36,1.4,1.4
1.76,1.76,1.76,1.76,1.76,1.36,1.36,1.4,1.36,1.32
1.72,1.84,1.8,1.76,1.72,1.36,1.32,1.36,1.36,1.32
1.8,1.84,1.76,1.8,1.72,1.4,1.4,1.36,1.4,1.32
1.8,1.84,1.76,1.76,1.76,1.4,1.32,1.4,1.36,1.36
1.8,1.72,1.76,1.72,1.8,1.32,1.4,1.4,1.4,1.36
1.72,1.76,1.8,1.8,1.76,1.4,1.36,1.32,1.36,1.32
1.72,1.8,1.8,1.8,1.72,1.32,1.36,1.32,1.32,1.32
1.8,1.84,1.76,1.8,1.76,1.32,1.36,1.36,1.4,1.36
1.76,1.76,1.72,1.76,1.8,1.36,1.32,1.4,1.32,1.32
1.76,1.72,1.76,1.76,1.64,1.76,2.48,1.68,1.72,1.92
1.8,1.8,1.84,1.8,1.8,1.56,1.68,1.52,1.6,1.68
1.8,1.8,1.8,1.88,1.84,1.52,1.52,1.52,1.56,1.52
1.8,1.8,1.84,1.8,1.8,1.52,1.44,1.48,1.48,1.56
1.84,1.84,1.76,1.8,1.8,1.48,1.48,1.48,1.52,1.48
1.8,1.8,1.76,1.76,1.8,1.44,1.48,1.48,1.48,1.48
1.8,1.8,1.8,1.8,1.76,1.36,1.4,1.44,1.44,1.44
1.8,1.8,1.84,1.8,1.76,1.4,1.36,1.4,1.44,1.44
1.8,1.8,1.8,1.84,1.8,1.48,1.44,1.4,1.4,1.44
1.84,1.8,1.8,1.8,1.76,1.4,1.44,1.44,1.4,1.4
1.8,1.76,1.76,1.76,1.76,1.36,1.4,1.4,1.4,1.4
1.76,1.76,1.8,1.8,1.8,1.4,1.44,1.32,1.4,1.4
1.8,1.76,1.84,1.8,1.88,1.4,1.4,1.4,1.36,1.4
1.8,1.8,1.84,1.84,1.8,1.4,1.4,1.4,1.32,1.4
1.8,1.8,1.8,1.76,1.76,1.4,1.4,1.4,1.4,1.4
1.76,1.8,1.76,1.72,1.76,1.4,1.4,1.4,1.4,1.4
1.72,1.8,1.8,1.76,1.8,1.32,1.36,1.4,1.4,1.36
1.76,1.8,1.84,1.8,1.88,1.36,1.32,1.36,1.32,1.36
1.8,1.8,1.8,1.8,1.8,1.4,1.36,1.36,1.36,1.36
1.76,1.8,1.8,1.76,1.72,1.4,1.36,1.36,1.36,1.4
1.8,1.72,1.76,1.72,1.76,1.36,1.36,1.4,1.36,1.32
1.72,1.68,1.8,1.8,1.72,1.32,1.4,1.36,1.28,1.36
1.76,1.76,1.8,1.8,1.76,1.36,1.28,1.32,1.32,1.32
1.8,1.8,1.76,1.8,1.8,1.36,1.32,1.36,1.36,1.36
1.8,1.72,1.76,1.8,1.72,1.4,1.36,1.36,1.36,1.36
1.72,1.64,1.8,1.76,1.64,1.8,2.28,1.68,1.72,1.92
1.84,1.84,1.8,1.76,1.76,1.6,1.64,1.56,1.56,1.6
1.88,1.8,1.84,1.84,1.8,1.56,1.56,1.48,1.52,1.56
1.8,1.88,1.84,1.8,1.84,1.48,1.48,1.48,1.48,1.56
1.72,1.76,1.8,1.76,1.8,1.48,1.48,1.52,1.48,1.48
1.8,1.72,1.8,1.76,1.76,1.48,1.48,1.44,1.44,1.48
1.84,1.64,1.8,1.8,1.76,1.4,1.44,1.48,1.44,1.4
1.8,1.84,1.84,1.8,1.84,1.4,1.48,1.4,1.44,1.44
1.84,1.92,1.76,1.8,1.8,1.44,1.4,1.44,1.48,1.44
1.8,1.84,1.8,1.72,1.76,1.4,1.4,1.44,1.44,1.4
1.8,1.72,1.76,1.8,1.76,1.4,1.4,1.4,1.44,1.4
1.76,1.76,1.76,1.8,1.76,1.4,1.4,1.4,1.4,1.4
1.8,1.84,1.8,1.8,1.76,1.36,1.4,1.4,1.4,1.4
1.8,1.8,1.8,1.8,1.8,1.44,1.36,1.4,1.4,1.4
1.84,1.8,1.76,1.8,1.8,1.4,1.4,1.4,1.4,1.4
1.8,1.8,1.76,1.72,1.76,1.4,1.36,1.36,1.4,1.4
1.72,1.8,1.84,1.76,1.72,1.36,1.4,1.36,1.36,1.4
1.72,1.76,1.8,1.76,1.84,1.36,1.4,1.32,1.36,1.36
1.8,1.8,1.76,1.8,1.8,1.4,1.32,1.36,1.4,1.4
1.8,1.8,1.72,1.76,1.8,1.4,1.36,1.4,1.4,1.36
1.8,1.76,1.72,1.76,1.72,1.4,1.36,1.36,1.32,1.32
1.76,1.76,1.8,1.76,1.8,1.32,1.36,1.36,1.32,1.32
1.64,1.76,1.8,1.8,1.84,1.36,1.32,1.36,1.36,1.4
1.76,1.8,1.8,1.8,1.76,1.36,1.32,1.36,1.4,1.36
1.8,1.76,1.8,1.76,1.76,1.4,1.36,1.36,1.36,1.4
1.8,1.76,1.72,1.76,1.64,1.8,2.2,1.6,1.68,1.88
1.8,1.76,1.84,1.76,1.8,1.6,1.68,1.6,1.56,1.6
1.76,1.88,1.84,1.8,1.84,1.52,1.56,1.52,1.48,1.56
1.8,1.84,1.8,1.8,1.8,1.48,1.48,1.48,1.48,1.48
1.8,1.8,1.8,1.76,1.8,1.52,1.52,1.48,1.48,1.48
1.8,1.76,1.8,1.8,1.76,1.44,1.48,1.48,1.48,1.48
1.76,1.76,1.84,1.8,1.8,1.44,1.4,1.4,1.4,1.48
1.8,1.8,1.84,1.8,1.8,1.4,1.4,1.4,1.44,1.44
1.76,1.84,1.8,1.8,1.84,1.48,1.44,1.48,1.48,1.36
1.8,1.8,1.72,1.8,1.8,1.4,1.4,1.4,1.44,1.44
1.84,1.8,1.76,1.8,1.72,1.4,1.4,1.4,1.44,1.4
1.8,1.76,1.76,1.76,1.8,1.28,1.44,1.36,1.4,1.36
1.76,1.84,1.8,1.84,1.76,1.44,1.4,1.4,1.4,1.36
1.8,1.8,1.8,1.8,1.84,1.4,1.36,1.4,1.4,1.4
1.8,1.76,1.72,1.8,1.72,1.4,1.4,1.36,1.44,1.4
1.8,1.76,1.8,1.72,1.72,1.36,1.36,1.32,1.36,1.36
1.8,1.8,1.76,1.76,1.8,1.32,1.36,1.36,1.32,1.4
1.76,1.8,1.8,1.8,1.76,1.44,1.36,1.36,1.32,1.36
1.76,1.76,1.8,1.72,1.8,1.4,1.4,1.4,1.36,1.36
1.76,1.76,1.8,1.72,1.76,1.36,1.36,1.36,1.28,1.36
1.8,1.76,1.76,1.72,1.76,1.4,1.36,1.36,1.4,1.32
1.8,1.76,1.8,1.72,1.72,1.36,1.4,1.32,1.36,1.32
1.8,1.84,1.8,1.8,1.8,1.36,1.36,1.32,1.32,1.36
1.72,1.76,1.72,1.76,1.76,1.4,1.36,1.36,1.32,1.4
1.8,1.76,1.72,1.72,1.8,1.36,1.36,2.48,1.4,1.36
1.8,1.76,1.8,1.72,1.64,1.72,2.12,1.64,1.68,1.88
1.8,1.8,1.8,1.8,1.76,1.6,1.64,1.52,1.56,1.6
1.8,1.8,1.8,1.84,1.8,1.56,1.56,1.52,1.52,1.56
1.8,1.8,1.8,1.8,1.8,1.52,1.44,1.48,1.52,1.52
1.84,1.8,1.8,1.84,1.84,1.48,1.48,1.48,1.48,1.48
1.8,1.8,1.76,1.68,1.8,1.48,1.48,1.4,1.48,1.48
1.8,1.84,1.8,1.8,1.8,1.4,1.48,1.44,1.4,1.4
1.8,1.76,1.8,1.92,1.84,1.4,1.44,1.4,1.44,1.44
1.76,1.84,1.8,1.84,1.8,1.44,1.44,1.44,1.44,1.44
1.84,1.72,1.8,1.8,1.72,1.4,1.4,1.44,1.4,1.48
1.8,1.8,1.8,1.76,1.76,1.36,1.4,1.36,1.4,1.36
1.8,1.8,1.8,1.84,1.8,1.4,1.4,1.4,1.4,1.36
1.76,1.84,1.8,1.8,1.8,1.4,1.4,1.4,1.36,1.4
1.76,1.8,1.76,1.8,1.8,1.4,1.36,1.44,1.4,1.36
1.8,1.8,1.8,1.8,1.8,1.4,1.36,1.4,1.36,1.44
1.76,1.72,1.8,1.76,1.72,1.4,1.4,1.4,1.36,1.44
1.8,1.8,1.76,1.76,1.72,1.36,1.4,1.28,1.36,1.36
1.76,1.76,1.8,1.76,1.8,1.36,1.36,1.36,1.4,1.36
1.8,1.84,1.8,1.8,1.8,1.4,1.32,1.32,1.4,1.32
1.76,1.8,1.76,1.76,1.76,1.4,1.36,1.4,1.36,1.32
1.8,1.76,1.76,1.76,1.72,1.36,1.36,1.36,1.36,1.32
1.76,1.8,1.76,1.76,1.8,1.32,1.32,1.28,1.36,1.4
1.76,1.76,1.72,1.76,1.8,1.36,1.32,1.32,1.32,1.36
1.72,1.8,1.76,1.8,1.76,1.36,1.28,1.32,1.32,1.36
1.76,1.76,1.76,1.76,1.76,1.32,1.4,2.24,1.32,1.28
1.8,1.8,1.72,1.32,1.64,1.76,2.04,1.64,1.68,1.84
1.76,1.8,1.76,1.72,1.8,1.56,1.64,1.52,1.6,1.56
1.8,1.8,1.8,1.8,1.8,1.52,1.56,1.48,1.48,1.52
1.76,1.8,1.8,1.84,1.88,1.52,1.48,1.48,1.52,1.48
1.84,1.8,1.76,1.8,1.76,1.48,1.48,1.48,1.44,1.48
1.84,1.84,1.8,1.8,1.8,1.4,1.48,1.4,1.44,1.48
1.8,1.8,1.8,1.76,1.76,1.4,1.44,1.4,1.44,1.44
1.84,1.8,1.84,1.8,1.8,1.48,1.44,1.4,1.44,1.44
1.8,1.84,1.8,1.8,1.8,1.4,1.36,1.44,1.4,1.44
1.8,1.76,1.8,1.76,1.8,1.44,1.4,1.48,1.44,1.4
1.84,1.76,1.8,1.8,1.76,1.4,1.4,1.36,1.4,1.48
1.76,1.8,1.84,1.8,1.76,1.36,1.44,1.36,1.36,1.4
1.84,1.8,1.8,1.8,1.76,1.4,1.4,1.4,1.44,1.4
1.8,1.72,1.72,1.8,1.76,1.4,1.4,1.4,1.44,1.4
1.8,1.8,1.72,1.8,1.72,1.4,1.4,1.4,1.4,1.44
1.8,1.72,1.76,1.8,1.76,1.32,1.36,1.32,1.36,1.4
1.8,1.76,1.84,1.8,1.76,1.4,1.4,1.36,1.36,1.36
1.8,1.84,1.88,1.76,1.84,1.4,1.32,1.36,1.36,1.36
1.8,1.84,1.76,1.8,1.8,1.4,1.32,1.4,1.36,1.4
1.8,1.76,1.64,1.8,1.72,1.36,1.36,1.32,1.36,1.32
1.84,1.72,1.76,1.76,1.8,1.4,1.36,1.28,1.32,1.36
1.72,1.8,1.8,1.76,1.76,1.32,1.32,1.32,1.32,1.32
1.68,1.8,1.8,1.76,1.8,1.36,1.32,1.32,1.32,1.32
1.76,1.8,1.76,1.8,1.8,1.36,1.32,1.32,1.4,1.32
1.76,1.76,1.8,1.8,1.72,1.36,1.32,2.16,1.32,1.32
1.76,1.76,1.76,1.48,1.72,1.68,2.0,1.68,1.68,1.8
1.8,1.8,1.8,1.76,1.8,1.6,1.68,1.56,1.56,1.6
1.8,1.88,1.84,1.84,1.84,1.52,1.6,1.56,1.52,1.56
1.8,1.8,1.8,1.8,1.84,1.52,1.48,1.48,1.48,1.52
1.8,1.8,1.8,1.84,1.84,1.44,1.44,1.48,1.44,1.52
1.76,1.8,1.8,1.8,1.8,1.48,1.48,1.48,1.44,1.48
1.84,1.8,1.8,1.8,1.8,1.44,1.44,1.4,1.4,1.4
1.8,1.84,1.84,1.8,1.8,1.4,1.44,1.4,1.44,1.4
1.76,1.84,1.8,1.8,1.8,1.4,1.44,1.44,1.4,1.48
1.72,1.8,1.76,1.8,1.8,1.44,1.4,1.4,1.4,1.44
1.84,1.72,1.8,1.8,1.8,1.4,1.4,1.4,1.36,1.4
1.8,1.76,1.8,1.76,1.76,1.4,1.44,1.4,1.36,1.4
1.8,1.76,1.8,1.76,1.8,1.4,1.32,1.4,1.36,1.36
1.8,1.8,1.8,1.8,1.76,1.4,1.36,1.4,1.4,1.4
1.76,1.76,1.76,1.8,1.76,1.36,1.36,1.44,1.4,1.4
1.8,1.8,1.76,1.76,1.76,1.4,1.4,1.32,1.36,1.4
1.76,1.8,1.8,1.76,1.8,1.32,1.36,1.36,1.36,1.36
1.76,1.84,1.8,1.76,1.8,1.36,1.36,1.32,1.36,1.4
