Voltaje_Cen_0,Voltaje_Cen_1,Voltaje_Cen_2,Voltaje_Cen_3,Voltaje_Cen_4,Voltaje_Ext_0,Voltaje_Ext_1,Voltaje_Ext_2,Voltaje_Ext_3,Voltaje_Ext_4
0.88,0.88,0.88,0.88,0.88,0.96,1.04,0.96,1.04,1.04
0.88,0.88,0.92,0.9,0.88,1.04,1.04,1.04,1.04,1.04
0.9,0.88,0.88,0.9,0.9,1.04,0.96,0.96,1.04,1.04
0.9,0.88,0.88,0.88,0.88,1.04,0.88,0.96,0.96,0.96
0.9,0.88,0.9,0.92,0.9,0.96,0.96,0.96,0.96,0.96
0.9,0.92,0.88,0.92,0.9,0.96,1.04,1.04,1.04,1.04
0.92,0.92,0.92,0.94,0.9,0.96,0.96,1.04,1.04,1.04
0.92,0.9,0.92,0.92,0.94,0.96,0.96,1.12,0.96,0.96
0.92,0.94,0.92,0.92,0.92,0.96,0.96,0.88,0.96,0.96
0.94,0.92,0.94,0.94,0.92,1.04,0.96,0.96,0.96,0.96
0.92,0.96,0.94,0.94,0.94,0.88,0.96,0.96,0.96,0.96
0.4,0.32,0.32,0.3,0.28,0.96,0.96,0.96,0.96,0.96
0.62,0.52,0.5,0.5,0.44,1.44,1.44,1.44,1.44,1.44
0.72,0.66,0.64,0.64,0.62,1.28,1.28,1.36,1.2,1.2
0.74,0.74,0.74,0.72,0.7,1.2,1.2,1.2,1.2,1.2
0.8,0.8,0.78,0.76,0.76,1.12,1.2,1.2,1.2,1.2
0.82,0.8,0.8,0.78,0.8,1.2,1.2,1.12,1.12,1.12
0.82,0.82,0.82,0.82,0.8,1.12,1.2,1.2,1.12,1.12
0.82,0.82,0.82,0.84,0.82,1.2,1.2,1.2,1.12,1.12
0.84,0.82,0.84,0.84,0.84,1.12,0.96,1.12,1.12,1.12
0.86,0.86,0.86,0.84,0.86,1.12,1.2,1.04,1.2,1.2
0.86,0.88,0.86,0.86,0.88,1.04,1.12,1.04,1.12,1.12
0.86,0.86,0.86,0.84,0.86,1.04,1.12,1.2,1.04,1.04
0.88,0.86,0.86,0.86,0.88,1.12,1.04,1.12,1.04,1.04
0.86,0.88,0.86,0.86,0.86,1.04,0.96,1.04,1.04,1.04
0.86,0.88,0.9,0.9,0.88,1.12,1.04,1.04,1.04,1.04
0.88,0.88,0.9,0.88,0.9,0.96,1.04,1.04,0.96,0.96
0.88,0.88,0.88,0.88,0.9,0.96,0.96,1.04,0.96,0.96
0.9,0.9,0.9,0.88,0.88,0.96,1.04,1.04,0.96,0.96
0.88,0.9,0.9,0.9,0.92,1.04,1.04,0.96,1.04,1.04
0.9,0.9,0.92,0.92,0.92,0.96,1.04,0.96,1.04,1.04
0.92,0.92,0.92,0.92,0.92,0.96,1.04,1.04,0.96,0.96
0.92,0.92,0.92,0.92,0.92,1.04,0.96,0.96,1.04,1.04
0.94,0.92,0.92,0.94,0.92,1.04,0.96,0.96,0.96,0.96
0.92,0.94,0.96,0.92,0.96,0.96,1.04,0.96,0.96,0.96
0.94,0.94,0.96,0.94,0.94,0.88,0.96,0.96,0.96,0.96
0.14,0.38,0.34,0.34,0.3,0.88,1.12,0.96,0.88,0.88
0.44,0.56,0.52,0.52,0.48,1.44,1.6,1.52,1.36,1.36
0.64,0.68,0.66,0.66,0.64,1.28,1.28,1.36,1.2,1.2
0.72,0.76,0.74,0.74,0.72,1.28,1.2,1.2,1.2,1.2
0.74,0.78,0.78,0.78,0.78,1.2,1.2,1.2,1.2,1.2
0.78,0.82,0.8,0.8,0.8,1.12,1.2,1.2,1.2,1.2
0.82,0.82,0.8,0.82,0.8,1.2,1.28,1.2,1.2,1.2
0.82,0.84,0.82,0.84,0.82,1.12,1.12,1.2,1.12,1.12
0.84,0.86,0.86,0.84,0.84,1.12,1.12,1.12,1.12,1.12
0.84,0.86,0.86,0.86,0.86,1.12,1.12,1.2,1.2,1.2
0.84,0.88,0.86,0.84,0.86,1.12,1.12,1.2,1.12,1.12
0.84,0.86,0.82,0.86,0.86,1.04,1.12,1.2,1.04,1.04
0.86,0.86,0.88,0.86,0.86,1.04,1.12,1.04,0.96,0.96
0.88,0.86,0.86,0.86,0.86,1.04,1.12,0.96,1.2,1.2
0.86,0.86,0.9,0.88,0.88,1.04,0.96,1.04,1.12,1.12
0.86,0.9,0.9,0.9,0.88,0.88,0.96,1.04,1.04,1.04
0.88,0.9,0.9,0.88,0.88,0.96,1.04,1.28,1.04,1.04
0.88,0.9,0.9,0.92,0.92,0.96,1.04,0.96,0.96,0.96
0.88,0.92,0.88,0.9,0.9,0.96,0.96,0.96,1.04,1.04
0.9,0.92,0.9,0.92,0.92,1.04,1.04,0.96,1.04,1.04
0.9,0.92,0.92,0.9,0.92,0.88,0.96,0.96,0.96,0.96
0.92,0.94,0.92,0.92,0.94,1.04,1.04,0.96,0.96,0.96
0.92,0.94,0.92,0.94,0.96,1.04,0.96,0.96,0.88,0.88
0.94,0.94,0.94,0.94,0.94,0.96,0.88,0.96,0.96,0.96
0.92,0.94,0.96,0.94,0.94,0.88,0.88,0.96,0.96,0.96
0.24,0.12,0.38,0.08,0.34,1.52,0.96,0.96,0.96,0.96
0.5,0.4,0.58,0.36,0.52,1.36,1.36,1.6,1.36,1.36
0.64,0.6,0.68,0.56,0.66,1.2,1.28,1.36,1.2,1.2
0.74,0.68,0.72,0.68,0.72,1.2,1.2,1.28,1.2,1.2
0.76,0.74,0.78,0.74,0.76,1.2,1.2,1.12,1.2,1.2
0.78,0.8,0.82,0.78,0.8,1.12,1.2,1.2,1.12,1.12
0.82,0.8,0.8,0.8,0.8,1.12,1.04,1.12,1.28,1.28
0.82,0.82,0.82,0.8,0.84,1.12,1.12,1.2,1.04,1.04
0.84,0.84,0.86,0.84,0.86,1.2,1.12,1.12,1.12,1.12
0.84,0.84,0.86,0.84,0.84,1.12,1.2,1.12,1.2,1.2
0.84,0.86,0.86,0.86,0.86,1.2,1.2,1.2,1.2,1.2
0.86,0.86,0.86,0.86,0.86,1.12,1.04,1.2,1.12,1.12
0.86,0.86,0.88,0.86,0.86,1.04,1.12,1.12,1.12,1.12
0.86,0.86,0.86,0.86,0.9,1.04,0.96,1.12,1.04,1.04
0.88,0.86,0.88,0.88,0.88,0.96,1.12,0.96,1.12,1.12
0.86,0.88,0.9,0.86,0.88,0.96,1.04,1.12,1.12,1.12
0.86,0.9,0.88,0.9,0.9,0.96,1.04,1.04,0.96,0.96
0.9,0.88,0.9,0.9,0.9,1.04,1.04,1.04,0.96,0.96
0.88,0.88,0.9,0.9,0.9,0.96,0.96,1.04,0.96,0.96
0.9,0.9,0.92,0.92,0.92,0.96,1.04,0.96,1.04,1.04
0.9,0.92,0.92,0.94,0.92,0.96,0.96,0.96,1.04,1.04
0.92,0.92,0.94,0.92,0.92,0.96,0.96,0.96,1.04,1.04
0.92,0.94,0.94,0.92,0.92,0.96,0.96,1.04,0.96,0.96
0.92,0.94,0.94,0.94,0.96,0.96,0.96,0.96,0.96,0.96
0.94,0.94,0.18,0.94,0.96,0.96,0.96,0.96,0.96,0.96
0.26,0.2,0.42,0.2,0.1,1.52,1.6,0.88,1.6,1.6
0.52,0.46,0.6,0.4,0.36,1.36,1.36,1.52,1.36,1.36
0.68,0.62,0.7,0.56,0.56,1.2,1.2,1.36,1.2,1.2
0.72,0.7,0.76,0.68,0.66,1.2,1.28,1.28,1.2,1.2
0.78,0.76,0.8,0.76,0.74,1.2,1.2,1.2,1.2,1.2
0.8,0.8,0.82,0.8,0.78,1.2,1.2,1.2,1.2,1.2
0.8,0.82,0.84,0.8,0.8,1.12,1.12,1.2,1.12,1.12
0.86,0.84,0.82,0.8,0.82,1.2,1.12,1.2,1.04,1.04
0.84,0.82,0.86,0.84,0.82,1.12,1.12,1.12,1.04,1.04
0.84,0.86,0.86,0.84,0.84,1.04,1.04,1.12,1.12,1.12
0.84,0.86,0.88,0.84,0.86,1.04,1.12,1.04,1.04,1.04
0.86,0.86,0.86,0.86,0.84,1.12,1.12,1.12,1.04,1.04
0.86,0.88,0.9,0.86,0.86,1.12,1.04,1.12,0.96,0.96
0.88,0.86,0.86,0.86,0.86,1.04,1.04,1.2,1.04,1.04
0.86,0.86,0.9,0.88,0.86,1.04,1.04,0.96,1.04,1.04
0.88,0.88,0.9,0.92,0.88,1.04,1.12,1.04,1.04,1.04
0.9,0.9,0.92,0.9,0.9,1.04,1.04,1.04,0.96,0.96
0.9,0.88,0.88,0.9,0.9,0.96,1.04,1.04,0.96,0.96
0.9,0.88,0.9,0.9,0.92,1.04,0.96,0.96,1.04,1.04
0.88,0.9,0.9,0.9,0.92,0.96,1.04,1.04,1.04,1.04
0.9,0.9,0.94,0.92,0.92,0.96,0.96,1.04,1.04,1.04
0.92,0.92,0.92,0.92,0.94,0.96,0.96,1.04,0.96,0.96
0.94,0.92,0.92,0.92,0.94,0.96,0.96,0.96,0.96,0.96
0.92,0.94,0.94,0.94,0.94,0.96,0.88,0.96,0.88,0.88
0.94,0.96,0.22,0.96,0.94,0.96,0.96,0.96,0.88,0.88
0.32,0.24,0.46,0.26,0.18,1.52,1.52,0.96,1.52,1.52
0.56,0.5,0.62,0.44,0.4,1.28,1.36,1.44,1.28,1.28
0.7,0.64,0.7,0.6,0.56,1.28,1.2,1.28,1.2,1.2
0.76,0.72,0.76,0.7,0.68,1.2,1.2,1.2,1.2,1.2
0.78,0.78,0.78,0.78,0.74,1.2,1.28,1.2,1.2,1.2
0.8,0.8,0.8,0.78,0.78,1.12,1.2,1.12,1.2,1.2
0.8,0.82,0.82,0.82,0.82,1.2,1.2,1.2,1.12,1.12
0.84,0.82,0.82,0.8,0.82,1.04,1.12,1.2,1.2,1.2
0.84,0.84,0.86,0.82,0.84,1.12,0.96,1.2,1.04,1.04
0.86,0.86,0.86,0.86,0.84,1.12,1.12,1.04,1.12,1.12
0.86,0.86,0.86,0.86,0.86,1.04,1.12,1.2,1.04,1.04
0.86,0.86,0.86,0.86,0.88,1.28,1.12,1.12,1.12,1.12
0.86,0.86,0.88,0.86,0.86,1.04,1.04,1.2,1.04,1.04
0.86,0.86,0.86,0.88,0.88,0.96,1.12,1.12,1.12,1.12
0.86,0.88,0.9,0.88,0.88,1.04,1.04,1.04,1.04,1.04
0.88,0.88,0.9,0.9,0.88,0.96,1.04,1.04,1.04,1.04
0.88,0.9,0.9,0.92,0.9,1.04,1.04,1.12,0.96,0.96
0.9,0.9,0.9,0.9,0.9,1.12,1.04,1.04,1.04,1.04
0.88,0.92,0.9,0.92,0.9,1.04,1.04,1.12,0.96,0.96
0.9,0.9,0.92,0.92,0.9,0.96,0.96,0.96,0.96,0.96
0.9,0.9,0.92,0.92,0.9,0.88,0.96,0.96,0.96,0.96
0.9,0.92,0.94,0.92,0.92,0.96,0.96,1.04,0.96,0.96
0.92,0.92,0.92,0.94,0.94,0.96,0.88,0.96,0.96,0.96
0.94,0.92,0.96,0.92,0.92,0.96,0.96,1.04,0.88,0.88
0.92,0.92,0.28,0.94,0.94,0.88,0.96,0.96,0.96,0.96
0.38,0.3,0.5,0.28,0.22,1.36,1.52,0.96,1.44,1.44
0.58,0.5,0.64,0.48,0.42,1.28,1.36,1.44,1.28,1.28
0.68,0.68,0.72,0.64,0.6,1.2,1.2,1.36,1.2,1.2
0.76,0.72,0.76,0.7,0.7,1.2,1.2,1.2,1.2,1.2
0.8,0.78,0.8,0.78,0.76,1.2,1.2,1.28,1.2,1.2
0.78,0.8,0.82,0.8,0.8,1.12,1.12,1.2,1.2,1.2
0.82,0.82,0.84,0.8,0.82,1.2,1.2,1.12,1.12,1.12
0.84,0.82,0.82,0.82,0.82,1.2,1.12,1.2,1.12,1.12
0.84,0.84,0.86,0.84,0.82,1.12,1.12,1.2,1.12,1.12
0.84,0.84,0.86,0.84,0.84,1.12,1.12,1.12,1.2,1.2
0.84,0.86,0.86,0.86,0.86,1.04,1.04,1.12,1.04,1.04
0.86,0.86,0.88,0.86,0.88,1.2,1.04,1.2,1.12,1.12
0.86,0.86,0.86,0.86,0.86,1.12,1.04,0.96,1.04,1.04
0.88,0.88,0.88,0.88,0.86,1.04,0.96,1.2,0.96,0.96
0.86,0.88,0.88,0.9,0.88,1.12,1.04,1.04,1.04,1.04
0.9,0.9,0.9,0.9,0.88,1.04,1.04,0.96,1.04,1.04
0.9,0.88,0.88,0.9,0.88,1.04,1.04,1.04,0.96,0.96
0.9,0.88,0.92,0.88,0.92,1.12,1.12,1.04,1.04,1.04
0.9,0.9,0.9,0.9,0.9,1.04,1.04,1.04,1.04,1.04
