Voltaje_Cen_0,Voltaje_Ext_0
0.344,4.08
0.348,4.08
0.344,4.16
0.344,4.08
0.344,4.08
0.344,4.08
0.28800000000000003,4.32
0.304,4.24
0.316,4.16
0.32,4.16
0.324,4.16
0.328,4.16
0.332,4.16
0.336,4.16
0.336,4.16
0.336,4.16
0.336,4.16
0.34,4.16
0.34,4.16
0.34,4.16
0.344,4.16
0.348,4.16
0.344,4.16
0.344,4.16
0.34,4.08
0.34,4.08
0.344,4.08
0.34,4.08
0.344,4.08
0.348,4.08
0.348,4.16
0.284,4.32
0.308,4.24
0.316,4.16
0.32,4.16
0.328,4.16
0.332,4.16
0.332,4.16
0.336,4.16
0.336,4.16
0.336,4.16
0.336,4.16
0.34,4.16
0.336,4.08
0.34,4.16
0.34,4.08
0.344,4.16
0.344,4.08
0.344,4.16
0.348,4.08
0.344,4.08
0.34,4.08
0.344,4.08
0.348,4.16
0.348,4.08
0.344,4.08
0.28,4.4
0.304,4.24
0.316,4.16
0.32,4.16
0.328,4.16
0.328,4.16
0.332,4.16
0.336,4.16
0.336,4.08
0.336,4.16
0.336,4.16
0.34,4.08
0.34,4.16
0.34,4.08
0.344,4.08
0.34,4.16
0.344,4.16
0.344,4.16
0.344,4.08
0.344,4.16
0.344,4.08
0.348,4.08
0.348,4.08
0.348,4.08
0.348,4.16
0.276,4.48
0.304,4.16
0.316,4.16
0.324,4.16
0.328,4.16
0.332,4.16
0.332,4.16
0.332,4.08
0.332,4.16
0.336,4.08
0.336,4.08
0.336,4.08
0.34,4.08
0.34,4.16
0.344,4.16
0.34,4.08
0.34,4.16
0.34,4.08
0.348,4.08
0.348,4.08
0.344,4.08
0.344,4.16
0.344,4.08
0.344,4.08
0.344,4.08
0.268,4.08
0.3,4.24
0.312,4.16
0.32,4.16
0.328,4.16
0.328,4.16
0.332,4.16
0.336,4.16
0.336,4.16
0.336,4.16
0.34,4.08
0.336,4.08
0.34,4.16
0.34,4.08
0.34,4.16
0.344,4.16
0.34,4.16
0.34,4.08
0.344,4.16
0.344,4.16
0.348,4.08
0.344,4.08
0.348,4.16
0.344,4.08
0.344,4.08
0.264,4.08
0.3,4.24
0.312,4.16
0.32,4.16
0.324,4.16
0.328,4.16
0.328,4.16
0.336,4.16
0.332,4.08
0.336,4.16
0.336,4.08
0.34,4.16
0.336,4.16
0.336,4.16
0.336,4.08
0.344,4.08
0.336,4.08
0.344,4.08
0.344,4.16
0.344,4.08
0.348,4.08
0.344,4.08
0.344,4.16
0.348,4.08
0.344,4.08
0.256,4.16
0.29600000000000004,4.24
0.312,4.16
0.32,4.16
0.324,4.16
0.328,4.16
0.332,4.16
0.332,4.16
0.336,4.16
0.336,4.08
0.336,4.08
0.336,4.08
0.34,4.08
0.344,4.16
0.34,4.08
0.344,4.16
0.34,4.16
0.344,4.08
0.344,4.08
0.344,4.08
0.344,4.16
0.344,4.16
0.344,4.16
0.344,4.16
0.35200000000000004,4.08
0.244,4.08
0.29600000000000004,4.24
0.312,4.16
0.316,4.24
0.324,4.16
0.328,4.16
0.328,4.16
0.332,4.16
0.336,4.16
0.336,4.16
0.336,4.08
0.34,4.08
0.344,4.16
0.34,4.16
0.344,4.08
0.344,4.16
0.344,4.08
0.344,4.08
0.336,4.16
0.344,4.16
0.344,4.08
0.348,4.08
0.344,4.16
0.348,4.08
0.348,4.08
0.224,4.08
0.29600000000000004,4.24
0.308,4.24
0.32,4.16
0.324,4.16
0.328,4.16
0.332,4.16
0.332,4.16
0.332,4.16
0.336,4.16
0.336,4.08
0.336,4.08
0.34,4.16
0.344,4.08
0.34,4.08
0.344,4.08
0.344,4.16
0.34,4.08
0.344,4.08
0.34,4.08
0.348,4.08
0.348,4.16
0.348,4.08
0.344,4.16
0.344,4.08
0.172,4.16
0.292,4.32
0.308,4.24
0.32,4.16
0.324,4.16
0.328,4.16
0.328,4.16
0.328,4.16
0.336,4.16
0.332,4.08
0.336,4.08
0.344,4.08
0.336,4.16
0.34,4.08
0.344,4.08
0.344,4.08
0.344,4.16
0.344,4.08
0.348,4.16
0.344,4.08
0.344,4.08
0.344,4.16
0.348,4.16
0.344,4.16
0.344,4.16
0.344,4.08
0.292,4.32
0.308,4.24
0.316,4.24
0.324,4.16
0.324,4.16
0.328,4.16
0.332,4.16
0.332,4.16
0.332,4.16
0.336,4.08
0.34,4.16
0.34,4.16
0.336,4.08
0.34,4.08
0.34,4.08
0.34,4.16
0.344,4.16
0.344,4.16
0.344,4.08
0.344,4.16
0.34,4.16
0.344,4.08
0.348,4.08
0.348,4.16
0.344,4.16
0.28800000000000003,4.24
0.308,4.24
0.32,4.24
0.324,4.16
0.328,4.16
0.336,4.16
0.332,4.16
0.336,4.16
0.336,4.16
0.336,4.08
0.336,4.16
0.34,4.16
0.344,4.16
0.344,4.16
0.344,4.16
0.34,4.16
0.336,4.08
0.344,4.08
0.344,4.08
0.348,4.08
0.344,4.16
0.344,4.08
0.344,4.16
0.348,4.08
0.344,4.16
0.284,4.32
0.308,4.16
0.316,4.24
0.324,4.16
0.328,4.08
0.328,4.16
0.332,4.16
0.332,4.16
0.34,4.08
0.336,4.16
0.34,4.16
0.336,4.16
0.344,4.08
0.34,4.16
0.34,4.16
0.34,4.08
0.34,4.16
0.34,4.08
0.344,4.16
0.344,4.08
0.344,4.16
0.344,4.16
0.344,4.16
0.348,4.08
0.344,4.08
0.284,4.32
0.3,4.24
0.312,4.16
0.324,4.16
0.324,4.16
0.332,4.16
0.332,4.16
0.336,4.08
0.34,4.16
0.332,4.16
0.34,4.08
0.34,4.16
0.336,4.08
0.34,4.16
0.348,4.16
0.34,4.08
0.344,4.08
0.344,4.08
0.344,4.08
0.348,4.16
0.344,4.08
0.348,4.16
0.344,4.08
0.34,4.08
0.35200000000000004,4.16
0.276,4.4
0.304,4.24
0.312,4.24
0.324,4.16
0.328,4.16
0.328,4.16
0.332,4.16
0.332,4.16
0.336,4.16
0.336,4.08
0.336,4.16
0.34,4.08
0.34,4.08
0.34,4.08
0.34,4.08
0.344,4.08
0.34,4.08
0.344,4.08
0.34,4.16
0.344,4.08
0.344,4.08
0.344,4.08
0.348,4.08
0.348,4.16
0.348,4.08
0.276,4.08
0.3,4.24
0.316,4.16
0.324,4.16
0.324,4.16
0.328,4.16
0.332,4.16
0.332,4.16
0.336,4.08
0.336,4.16
0.336,4.08
0.336,4.08
0.34,4.08
0.344,4.08
0.344,4.16
0.344,4.16
0.344,4.16
0.344,4.08
0.344,4.08
0.34,4.16
0.344,4.08
0.35200000000000004,4.08
0.344,4.16
0.344,4.16
0.348,4.08
0.264,4.16
0.3,4.24
0.316,4.16
0.32,4.16
0.324,4.16
0.324,4.16
0.336,4.16
0.332,4.16
0.336,4.16
0.336,4.16
0.336,4.08
0.34,4.08
0.336,4.16
0.344,4.08
0.344,4.08
0.34,4.08
0.344,4.16
0.34,4.16
0.34,4.08
0.348,4.08
0.344,4.16
0.344,4.16
0.344,4.08
0.348,4.16
0.344,4.08
0.26,4.08
0.29600000000000004,4.24
0.308,4.16
0.32,4.16
0.324,4.16
0.328,4.16
0.328,4.16
0.332,4.16
0.332,4.16
0.332,4.16
0.336,4.16
0.336,4.16
0.34,4.08
0.336,4.08
0.34,4.08
0.34,4.16
0.344,4.08
0.344,4.08
0.34,4.16
0.344,4.08
0.344,4.08
0.344,4.08
0.344,4.08
0.344,4.08
0.348,4.16
0.248,4.08
0.29600000000000004,4.24
0.312,4.16
0.316,4.16
0.328,4.16
0.328,4.16
0.328,4.16
0.336,4.16
0.336,4.08
0.336,4.16
0.336,4.08
0.336,4.16
0.34,4.16
0.34,4.08
0.344,4.08
0.344,4.16
0.344,4.16
0.344,4.08
0.344,4.16
0.336,4.08
0.348,4.16
0.348,4.08
0.344,4.08
0.348,4.08
0.344,4.08
0.224,4.16
0.29600000000000004,4.24
0.312,4.24
0.316,4.16
0.324,4.16
0.328,4.16
0.332,4.16
0.336,4.16
0.336,4.16
0.336,4.16
0.336,4.08
0.336,4.08
0.34,4.08
0.344,4.16
0.34,4.16
0.34,4.08
0.34,4.16
0.34,4.16
0.344,4.16
0.344,4.08
0.344,4.08
0.344,4.08
0.348,4.16
0.348,4.16
0.348,4.08
0.184,4.16
0.292,4.32
0.304,4.16
0.316,4.16
0.324,4.16
0.328,4.16
0.328,4.16
0.332,4.16
0.328,4.16
0.336,4.16
0.336,4.08
0.336,4.16
0.34,4.16
0.34,4.16
0.34,4.16
0.344,4.08
0.34,4.08
0.344,4.08
0.34,4.08
0.344,4.08
0.344,4.16
0.348,4.16
0.344,4.08
0.344,4.16
0.344,4.16
0.344,4.08
0.292,4.24
0.308,4.24
0.316,4.16
0.32,4.16
0.332,4.16
0.328,4.16
0.332,4.16
0.336,4.16
0.336,4.16
0.332,4.16
0.336,4.16
0.34,4.16
0.336,4.08
0.344,4.16
0.34,4.16
0.34,4.16
0.344,4.08
0.34,4.08
0.344,4.08
0.344,4.16
0.348,4.08
0.348,4.08
0.344,4.16
0.344,4.16
0.348,4.16
0.28800000000000003,4.32
0.308,4.24
0.316,4.16
0.324,4.16
0.332,4.16
0.332,4.16
0.332,4.16
0.332,4.16
0.336,4.16
0.336,4.08
0.336,4.16
0.34,4.16
0.34,4.08
0.336,4.16
0.34,4.16
0.34,4.16
0.344,4.16
0.34,4.16
0.34,4.16
0.34,4.08
0.344,4.16
0.344,4.08
0.344,4.08
0.348,4.08
0.348,4.08
0.284,4.32
0.304,4.24
0.316,4.16
0.32,4.16
0.324,4.16
0.328,4.16
0.332,4.16
0.332,4.16
0.336,4.16
0.336,4.16
0.34,4.16
0.336,4.16
0.34,4.16
0.34,4.16
0.34,4.16
0.34,4.16
0.344,4.08
0.34,4.08
0.34,4.08
0.344,4.08
0.344,4.08
0.348,4.08
0.348,4.16
0.344,4.08
0.348,4.08
0.28,4.32
0.304,4.24
0.316,4.24
0.32,4.16
0.328,4.16
0.328,4.16
0.328,4.08
0.336,4.16
0.332,4.16
0.336,4.16
0.336,4.16
0.34,4.16
0.34,4.08
0.344,4.08
0.344,4.16
0.344,4.16
0.344,4.16
0.344,4.08
0.344,4.08
0.344,4.16
0.348,4.08
0.336,4.16
0.348,4.16
0.344,4.16
0.344,4.08
0.28,4.4
0.308,4.16
0.316,4.16
0.32,4.16
0.324,4.16
0.328,4.08
0.332,4.16
0.332,4.16
0.336,4.16
0.336,4.16
0.34,4.16
0.34,4.16
0.34,4.16
0.332,4.16
0.34,4.16
0.344,4.16
0.34,4.16
0.34,4.16
0.344,4.08
0.344,4.16
0.348,4.08
0.344,4.16
0.344,4.16
0.344,4.16
0.348,4.16
0.272,4.24
0.3,4.16
0.316,4.16
0.324,4.16
0.324,4.16
0.328,4.08
0.328,4.16
0.336,4.16
0.336,4.16
0.336,4.08
0.34,4.16
0.336,4.16
0.34,4.16
0.34,4.16
0.34,4.16
0.34,4.08
0.34,4.08
0.344,4.16
0.344,4.08
0.344,4.08
0.344,4.08
0.348,4.16
0.344,4.16
0.344,4.08
0.344,4.08
0.268,4.24
0.29600000000000004,4.16
0.312,4.16
0.316,4.16
0.328,4.16
0.328,4.16
0.324,4.08
0.332,4.16
0.336,4.16
0.336,4.16
0.336,4.16
0.336,4.16
0.34,4.16
0.34,4.08
0.344,4.08
0.34,4.08
0.34,4.08
0.344,4.08
0.336,4.16
0.348,4.08
0.344,4.16
0.348,4.16
0.344,4.16
0.344,4.08
0.348,4.16
0.26,4.24
0.3,4.24
0.308,4.24
0.32,4.16
0.324,4.16
0.332,4.16
0.332,4.16
0.332,4.08
0.336,4.08
0.336,4.16
0.336,4.16
0.336,4.16
0.34,4.16
0.34,4.16
0.34,4.16
0.344,4.08
0.344,4.16
0.34,4.16
0.344,4.08
0.344,4.08
0.348,4.08
0.344,4.08
0.344,4.08
0.344,4.16
0.344,4.16
0.244,4.24
0.29600000000000004,4.24
0.312,4.16
0.32,4.16
0.324,4.16
0.328,4.16
0.336,4.08
0.332,4.16
0.336,4.16
0.336,4.16
0.336,4.08
0.34,4.16
0.336,4.08
0.34,4.16
0.34,4.08
0.34,4.08
0.34,4.16
0.344,4.16
0.34,4.16
0.348,4.08
0.344,4.16
0.344,4.16
0.344,4.16
0.344,4.08
0.34,4.08
0.232,4.24
0.29600000000000004,4.24
0.308,4.16
0.316,4.16
0.324,4.16
0.328,4.16
0.332,4.16
0.332,4.16
0.336,4.16
0.336,4.16
0.336,4.16
0.336,4.08
0.344,4.16
0.34,4.16
0.34,4.08
0.344,4.16
0.34,4.08
0.34,4.16
0.348,4.08
0.344,4.08
0.344,4.16
0.344,4.08
0.344,4.16
0.344,4.08
0.348,4.08
0.196,4.24
0.29600000000000004,4.24
0.308,4.16
0.316,4.16
0.324,4.16
0.328,4.16
0.328,4.16
0.332,4.16
0.336,4.16
0.332,4.16
0.336,4.16
0.34,4.16
0.34,4.08
0.344,4.16
0.344,4.08
0.34,4.08
0.34,4.08
0.34,4.16
0.344,4.16
0.34,4.08
0.344,4.08
0.344,4.08
0.348,4.16
0.344,4.16
0.348,4.08
