tiempo,voltaje
2.4,2.0
2.42,1.84
2.44,1.68
2.46,1.68
2.48,1.6
2.5,1.6
2.52,1.6
2.54,1.52
2.56,1.52
2.58,1.52
2.6,1.44
2.62,1.44
2.64,1.44
2.66,1.44
2.68,1.52
2.7,1.44
2.72,1.44
2.74,1.44
2.76,1.36
2.78,1.44
2.8,1.44
2.82,1.36
2.84,1.36
2.86,1.36
2.88,-3.28
2.9,-1.84
2.92,-1.68
2.94,-1.6
2.96,-1.44
2.98,-1.44
3.0,-1.44
3.02,-1.44
3.04,-1.44
3.06,-1.36
3.08,-1.28
3.1,-1.28
3.12,-1.36
3.14,-1.28
3.16,-1.28
3.18,-1.28
3.2,-1.28
3.22,-1.28
3.24,-1.28
3.26,-1.28
3.28,-1.2
3.3,-1.28
3.32,-1.28
3.34,-1.28
3.36,-1.2
3.38,2.48
3.4,2.0
3.42,1.68
3.44,1.68
3.46,1.6
3.48,1.6
3.5,1.6
3.52,1.52
3.54,1.52
3.56,1.52
3.58,1.52
3.6,1.52
3.62,1.44
3.64,1.44
3.66,1.44
3.68,1.36
3.7,1.44
3.72,1.36
3.74,1.44
3.76,1.36
3.78,1.44
3.8,1.36
3.82,1.36
3.84,1.36
3.86,1.36
3.88,-2.24
3.9,-1.76
3.92,-1.68
3.94,-1.6
3.96,-1.52
3.98,-1.52
4.0,-1.44
4.02,-1.44
4.04,-1.36
4.06,-1.36
4.08,-1.36
4.1,-1.28
4.12,-1.36
4.14,-1.36
4.16,-1.28
4.18,-1.28
4.2,-1.36
4.22,-1.28
4.24,-1.28
4.26,-1.28
4.28,-1.28
4.3,-1.28
4.32,-1.28
4.34,-1.28
4.36,-1.2
4.38,2.24
4.4,1.92
4.42,1.68
4.44,1.68
4.46,1.6
4.48,1.6
4.5,1.6
4.52,1.52
4.54,1.6
4.56,1.52
4.58,1.52
4.6,1.52
4.62,1.44
4.64,1.44
4.66,1.52
4.68,1.52
4.7,1.36
4.72,1.44
4.74,1.36
4.76,1.36
4.78,1.36
4.8,1.44
4.82,1.36
4.84,1.28
4.86,1.36
4.88,-2.08
4.9,-1.68
4.92,-1.6
4.94,-1.52
4.96,-1.52
4.98,-1.44
5.0,-1.44
5.02,-1.44
5.04,-1.44
5.06,-1.36
5.08,-1.28
5.1,-1.28
5.12,-1.36
5.14,-1.28
5.16,-1.28
5.18,-1.28
5.2,-1.28
5.22,-1.28
5.24,-1.28
5.26,-1.28
5.28,-1.28
5.3,-1.28
5.32,-1.28
5.34,-1.2
5.36,-1.28
5.38,2.08
5.4,1.84
5.42,1.68
5.44,1.68
5.46,1.6
5.48,1.6
5.5,1.52
5.52,1.52
5.54,1.52
5.56,1.52
5.58,1.44
5.6,1.52
5.62,1.44
5.64,1.44
5.66,1.44
5.68,1.44
5.7,1.44
5.72,1.44
5.74,1.36
5.76,1.36
5.78,1.44
5.8,1.36
5.82,1.36
5.84,1.36
5.86,1.36
5.88,-1.84
5.9,-1.68
5.92,-1.6
5.94,-1.6
5.96,-1.44
5.98,-1.44
6.0,-1.44
6.02,-1.36
6.04,-1.36
6.06,-1.36
6.08,-1.28
6.1,-1.36
6.12,-1.28
6.14,-1.36
6.16,-1.28
6.18,-1.28
6.2,-1.28
6.22,-1.28
6.24,-1.28
6.26,-1.28
6.28,-1.2
6.3,-1.28
6.32,-1.2
6.34,-1.28
6.36,-1.2
6.38,2.0
6.4,1.84
6.42,1.68
6.44,1.6
6.46,1.6
6.48,1.52
6.5,1.52
6.52,1.52
6.54,1.44
6.56,1.44
6.58,1.44
6.6,1.52
6.62,1.44
6.64,1.36
6.66,1.36
6.68,1.44
6.7,1.36
6.72,1.44
6.74,1.44
6.76,1.44
6.78,1.36
6.8,1.36
6.82,1.36
6.84,1.36
6.86,-2.72
6.88,-1.84
6.9,-1.76
6.92,-1.6
6.94,-1.52
6.96,-1.52
6.98,-1.36
7.0,-1.36
7.02,-1.36
7.04,-1.44
7.06,-1.36
7.08,-1.28
7.1,-1.28
7.12,-1.28
7.14,-1.28
7.16,-1.36
7.18,-1.28
7.2,-1.28
7.22,-1.28
7.24,-1.36
7.26,-1.28
7.28,-1.28
7.3,-1.2
7.32,-1.28
7.34,-1.2
7.36,2.4
7.38,1.92
7.4,1.68
7.42,1.68
7.44,1.68
7.46,1.52
7.48,1.52
7.5,1.52
7.52,1.52
7.54,1.44
7.56,1.44
7.58,1.44
7.6,1.44
7.62,1.44
7.64,1.44
7.66,1.44
7.68,1.44
7.7,1.44
7.72,1.36
7.74,1.36
7.76,1.36
7.78,1.36
7.8,1.36
7.82,1.44
7.84,1.36
7.86,-2.16
7.88,-1.76
7.9,-1.68
7.92,-1.52
7.94,-1.44
7.96,-1.44
7.98,-1.44
8.0,-1.44
8.02,-1.36
8.04,-1.44
8.06,-1.36
8.08,-1.36
8.1,-1.36
8.12,-1.36
8.14,-1.36
8.16,-1.28
8.18,-1.28
8.2,-1.28
8.22,-1.28
8.24,-1.28
8.26,-1.2
8.28,-1.2
8.3,-1.2
8.32,-1.28
8.34,-1.28
8.36,2.16
8.38,1.92
8.4,1.68
8.42,1.68
8.44,1.52
8.46,1.6
8.48,1.6
8.5,1.6
8.52,1.52
8.54,1.36
8.56,1.44
8.58,1.52
8.6,1.36
8.62,1.44
8.64,1.44
8.66,1.44
8.68,1.36
8.7,1.36
8.72,1.36
8.74,1.36
8.76,1.36
8.78,1.36
8.8,1.36
8.82,1.36
8.84,1.36
8.86,-2.0
8.88,-1.68
8.9,-1.6
8.92,-1.52
8.94,-1.52
8.96,-1.44
8.98,-1.44
9.0,-1.36
9.02,-1.36
9.04,-1.36
9.06,-1.36
9.08,-1.36
9.1,-1.28
9.12,-1.28
9.14,-1.28
9.16,-1.28
9.18,-1.28
9.2,-1.28
9.22,-1.28
9.24,-1.2
9.26,-1.28
9.28,-1.2
9.3,-1.2
9.32,-1.28
9.34,-1.28
9.36,2.08
9.38,1.84
9.4,1.68
9.42,1.68
9.44,1.6
9.46,1.52
9.48,1.52
9.5,1.6
9.52,1.52
9.54,1.52
9.56,1.52
9.58,1.44
9.6,1.44
9.62,1.44
9.64,1.36
9.66,1.36
9.68,1.52
9.7,1.36
9.72,1.44
9.74,1.36
9.76,1.52
9.78,1.36
9.8,1.36
9.82,1.36
9.84,1.36
